,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,mpg
371,4,135.0,84.00,2525.0,16.0,82,1,dodge aries se,29.0
372,4,151.0,90.00,2735.0,18.0,82,1,pontiac phoenix,27.0
373,4,140.0,92.00,2865.0,16.4,82,1,ford fairmont futura,24.0
374,4,151.0,?,3035.0,20.5,82,1,amc concord dl,23.0
375,4,105.0,74.00,1980.0,15.3,82,2,volkswagen rabbit l,36.0
376,4,91.0,68.00,2025.0,18.2,82,3,mazda glc custom l,37.0
377,4,91.0,68.00,1970.0,17.6,82,3,mazda glc custom,31.0
378,4,105.0,63.00,2125.0,14.7,82,1,plymouth horizon miser,38.0
379,4,98.0,70.00,2125.0,17.3,82,1,mercury lynx l,36.0
380,4,120.0,88.00,2160.0,14.5,82,3,nissan stanza xe,36.0
381,4,107.0,75.00,2205.0,14.5,82,3,honda accord,36.0
382,4,108.0,70.00,2245.0,16.9,82,3,toyota corolla,34.0
383,4,91.0,67.00,1965.0,15.0,82,3,honda civic,38.0
384,4,91.0,67.00,1965.0,15.7,82,3,honda civic (auto),32.0
385,4,91.0,67.00,1995.0,16.2,82,3,datsun 310 gx,38.0
386,6,181.0,110.0,2945.0,16.4,82,1,buick century limited,25.0
387,6,262.0,85.00,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel),38.0
388,4,156.0,92.00,2585.0,14.5,82,1,chrysler lebaron medallion,26.0
389,6,232.0,112.0,2835.0,14.7,82,1,ford granada l,22.0
390,4,144.0,96.00,2665.0,13.9,82,3,toyota celica gt,32.0
391,4,135.0,84.00,2370.0,13.0,82,1,dodge charger 2.2,36.0
392,4,151.0,90.00,2950.0,17.3,82,1,chevrolet camaro,27.0
393,4,140.0,86.00,2790.0,15.6,82,1,ford mustang gl,27.0
394,4,97.0,52.00,2130.0,24.6,82,2,vw pickup,44.0
395,4,135.0,84.00,2295.0,11.6,82,1,dodge rampage,32.0
396,4,120.0,79.00,2625.0,18.6,82,1,ford ranger,28.0
397,4,119.0,82.00,2720.0,19.4,82,1,chevy s-10,31.0
